encoding,          code, description,                                                  status,    implemented
identity,          0x00, 8-bit binary (encoder and decoder keeps data unmodified),     default,No
base2,             0,    binary (01010101),candidate,No
base8,             7,    octal,                                                        draft,No
base10,            9,    decimal,                                                      draft,No
base16,            f,    hexadecimal,                                                  default,Yes
base16upper,       F,    hexadecimal,                                                  default,Yes
base32hex,         v,    rfc4648 case-insensitive - no padding - highest char,         candidate,Yes
base32hexupper,    V,    rfc4648 case-insensitive - no padding - highest char,         candidate,Yes
base32hexpad,      t,    rfc4648 case-insensitive - with padding,                      candidate,Yes
base32hexpadupper, T,    rfc4648 case-insensitive - with padding,                      candidate,Yes
base32,            b,    rfc4648 case-insensitive - no padding,                        default,Yes
base32upper,       B,    rfc4648 case-insensitive - no padding,                        default,Yes
base32pad,         c,    rfc4648 case-insensitive - with padding,                      candidate,Yes
base32padupper,    C,    rfc4648 case-insensitive - with padding,                      candidate,Yes
base32z,           h,    z-base-32 (used by Tahoe-LAFS),                               draft,No
base36,            k,    base36 [0-9a-z] case-insensitive - no padding,                draft,No
base36upper,       K,    base36 [0-9a-z] case-insensitive - no padding,                draft,No
base58btc,         z,    base58 bitcoin,                                               default,Yes
base58flickr,      Z,    base58 flicker,                                               candidate,Yes
base64,            m,    rfc4648 no padding,                                           default,Yes
base64pad,         M,    rfc4648 with padding - MIME encoding,                         candidate,Yes
base64url,         u,    rfc4648 no padding,                                           default,Yes
base64urlpad,      U,    rfc4648 with padding,                                         default,Yes
proquint,          p,    PRO-QUINT https://arxiv.org/html/0901.4016,                   draft,No
base256emoji,      ðŸš€,    base256 with custom alphabet using variable-sized-codepoints, draft,No